,,,content,man_written
Hiru News,3/18/2021 6:21,Received,Dumriya riyaduran saha niyamakawarun weda warjanayaka; dhawanaya wanne kaaryala dumriya kihipayak pamani,දුම්රිය රියදුරන් සහ නියාමකවරුන් වැඩ වැඩවර්ජනයක ධාවනය වන්නේ කාර්යාල දුම්රිය කිහිපයක් පමණයි
Ada Derana,3/17/2021 20:51,Received,"UPDATE: Swarnamahal Jewellers hi hitapu adyakshawarun wana Jeewaka, Anjalee, Asanka ha Nalaka Edirisinghe Marthu 30 dakwa remand- adaderana.lk",Update : ස්වර්නමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක අන්ජලී අසංක හා නාලක එදිරිසිංහ මාර්තු 30 දක්වා රිමාන්ඩ් adaderana.lk
News 1st,3/17/2021 20:47,Received,Thawath corona marana 03k wartha wei.marana sankyawa 537 dakwa ihalata.- Saukya sewa adyaksha genaral.,තවත් කොරෝනා මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි මරණ සංඛ්‍යාව 537 දක්වා ඉහලට සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්
Hiru News,3/17/2021 20:39,Received,"Update: Athadanguwata gath Swarnamahal Jewellers hitapu adyakshawarun wana Jeewaka, Deepa, Asanka saha Nalaka Edirisinghe 03/30 dakwa remand.: Reporter","Update : අත්අඩංගුවට ගත් ස්වර්ණමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂ වරුන් වන ජීවක, ද්ඊපා, අසංක සහ නාලක ඉදිරිසිංහ 03/30දක්වා remand . Reporter"
Ada Derana,3/17/2021 20:23,Received,Ada Covid-19 asaditha marana 03 k wartha weemath samaga merata samastha marana ganana 537 dakwa ihalata - Saukya amathyanshaya,අද covid 19 ආසාදිත මරණ 3ක් වාර්තා වාර්තා වීමත් සමග වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ ගණන 537 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
Hiru News,3/17/2021 20:22,Received,Thawath COVID-19 marana 03k wartha-wei; samastha marana 537 dakwa ihalata.: Information Department,තවත් covid 19 මරණ 3ක් වාර්තා වෙයි වාර්තා වෙයි සමස්ත මරණ 537 දක්වා ඉහලට information department
Ada Derana,3/17/2021 20:15,Received,UPDATE: Thawath Covid-19 asadithayin 140 deneku haduna ganne.Ada wartha wu asadithayin ganana 322 dakwa ihalata - Yuda hamudapathi,Update : තවත් covid 19 ආසාදිතයින් 140 දෙනකු හඳුනා ගැනේ අද වාර්තා වූ ආසාදිතයින් ගණන 322 දක්වා ඉහළට යුද හමුදා පති
Hiru News,3/17/2021 19:58,Received,"Update - 03/23 dakwa remand kala hitapu emathi Ravi Karunanayake athulu 08-dena, Welikada bandanagaraye nirodayana madyasthanaya wetha yomu kere",update : 03/23 දක්වා රිමාන්ඩ් කළ හිටපු ඇමති ඇමැති රවි කරුණානායක ඇතුළු 8 දෙනා වැලිකඩ බන්ධනාගාරයේ නිරෝධායන මධ්‍යස්ථානය වෙත යොමු කෙරේ
Ada Derana,3/17/2021 19:51,Received,UPDATE: Marthu 23 dakwa remand kala hitapu amathya Ravi Karunanayake ethulu 8 dena Welikada bandanagaraye nirodayana madysthanayata,Update : මාර්තු 23 දක්වා remand  කළ හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 8 දෙනා වැලිකඩ බන්ධනාගාරයෙන් නිරෝධායන මධ්‍යස්ථානයකට
Hiru News,3/17/2021 18:25,Received,Maha banku bendumkara chodanawata adalawa hitapu emathi Ravi Karunanayake athulu 08-dena 03/23 dakwa remand kirimata Colamba mahadhikaranayen niyoga,මහ බැංකු බැඳුම්කර චෝදනාවට අදාළව හිටපු ඇමැති රවි කරුණානායක ඇතුළු 8දෙනා 03/23 දක්වා රිමාන්ඩ් කිරීමට කොළඹ මහාධිකරණයෙන් නියෝග
Ada Derana,3/17/2021 18:20,Received,2016 wasare sidu wu bedumkara wanchawata adalawa hitapu amathya Ravi Karunanayake ethulu 9 deneku Marthu 23 dakwa remand,2016 වසරෙහි සිදුවූ බැඳුම්කර වංචාවට අදාළව හිටපු අමාත්‍ය රවී කරුණානායක ඇතුළු 9 දෙනෙකු මාර්තු 23 දක්වා remand
Ada Derana,3/17/2021 18:05,Received,Covid-19 asadithayin 182 deneku haduna ganne - Yuda hamudapathi,Covid 19 ආසාදිතයින් 182 දෙනෙකු හඳුනා ගැනේ යුද හමුදා පති
Hiru News,3/17/2021 16:30,Received,Update: Azath Salley thawaduratath randawagena prashna kirimata CID-yata awasara.: Police Spokesman,update : අසාත් සාලි තවදුරටත් රඳවාගෙන ප්‍රශ්න කිරීමට CID ට අවසර : police spokesman
Hiru News,3/17/2021 15:56,Received,"Update: Swarnamahal Jewellers hitapu adyakshawarun wana Jeewaka, Deepa, Asanka ha Nalaka Edirisinghe Kotuwa mahesthrath adikaranayata idiripath kere","Update : සරණmahal  ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක, දීපා,අසංක, නාලක එදිරිසිංහ කොටුව මහේස්ත්‍රාත් අධිකරණයට ඉදිරිපත් කෙරේ"
Ada Derana,3/17/2021 15:50,Received,"Swarnamahal Jewellers hi hitapu adyakshawarun wana Jeewaka, Anjalee, Asanka ha Nalaka Edirisinghe Kotuwa mahesthrath adhikaranaya hamuwata","ස්වර්ණමහල් ජුවලර්ස් හි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක  ,අන්ජලී, අසංක හා නාලක එදිරිසිංහ කොටුව මහේස්ත්‍රාත් අධිකරණය හමුවට"
Hiru News,3/17/2021 15:40,Received,Dumriya riyaduran saha niyamakawarun aramba kala hadisi weda warjanaya thawakalikawa athhituwai.: Trade Unions,දුම්රිය රියදුරන් සහ නියාමකවරුන් ආරම්භ කළ හදිසි වැඩ වර්ජනය තාවකාලිකව අත්හිටුවයි trade union
Hiru News,3/17/2021 15:40,Received,"Thawath COVID-19 asadithayin 354k suwaya laba pitawa yai; suwaya labu mulu sankyawa 85,725.: EPID","තවත් Covid 19 ආසාදිතයින් 354ක් සුවය ලබා පිටව යයි  සුවය ලැබූ මුළු සංඛ්‍යාව 85,725:EPID"
News 1st,3/17/2021 15:23,Received,"Dumriya engine riyadura niyamakain,aethulu sewakain pirisak arambha kala hadisi wedawarjanaya thawakalikawa athhituwai.",දුම්රිය එන්ජින් රියදුරු නියාමකයින් ඇතුළු සේවකයින් පිරිසක් ආරම්භ කළ හදිසි වැඩ වර්ජනය තාවකාලිකව අත්හිටුවයි
Hiru News,3/17/2021 14:17,Received,Dumriya riyaduran saha niyamakawarun hadisi weda warjanayak aramba karai.: Trade Unions,දුම්රිය රියදුරන් සහ නියාමකවරුන් හදිසි වැඩවර්ජනයක් ආරම්භ කරයි trade union
News 1st,3/17/2021 14:15,Received,Dumriya engine riyaduran niyamakain ethulu sewakain pirisak hadisi wruththiya samithi kriyamargayaka.dumriya gaman pramada wei.,දුම්රිය එන්ජින් රියදුරන් රියදුරන් නියාමකයින් ඇතුළු සේවකයින් පිරිසක් හදිසි වෘත්තීය සමිති ක්‍රියාමාර්ගයක. දුම්රිය ගමන් ප්‍රමාද වෙයි
Hiru News,3/17/2021 13:04,Received,Sakshi wasan kirime chodanawata adalawa athadanguwata gath CID hitapu adyaksha Shani Abeysekara athulu 03-dena Marthu 31 dakwa yali remand.: Reporter,සත්‍ය වසන් කිරීමේ චෝදනාවට අදාළව අත ට අදාළව අත්අඩංගුවට ගත් CID හිටපු අධ්‍යක්ෂ ශානි අබේසේකර ඇතුළු තුන්දෙනා මාර්තු 31 දක්වා යළි remand  reporter
News 1st,3/17/2021 12:30,Received,"2016 Marthu 29,31 dinawala badumkara wendesiwala wanchawata adalawa neethipathi departhamentuwa Colombo tripudgala mahadikaranaya hamuwe adhichodana gonu karai.","2016 මාර්තු 29,31 දිනවල බැඳුම්කර වෙන්දේසි වල වංචාවට අදාළව අදාළව නීතිපති දෙපාර්තමේන්තුව colombo ත්‍රිපුද්ගල මහාධිකරණය හමුවේ අධි චෝදනා ගොනු කරයි"
Ada Derana,3/17/2021 12:22,Received,(2/2)erehiwa panawa ethi waarana niyogaya Colamba disa adhikaranayen May 7 dakwa thawaduratath deerga karai,(2/2) එරෙහිව පනවා ඇති වාරණ නියෝගය කොළඹ දිසා අධිකරණයෙන් මැයි 7 දක්වා තවදුරටත් දීර්ඝ කරයි
Ada Derana,3/17/2021 12:20,Received,George Steuart Health samagamata ha ehi sabapathita apahasa wana lesa puwath pala kireema walakwalamin MTV/Sirasa ta(1/2),George Steuart Health  සමාගමට හා එහි සභාපති අපහාස වන ලෙස වනලෙස පුවත් ලෙස පුවත් පල කිරීම වළක්වමින් MTV/සිරසට (1/2)
Ada Derana,3/17/2021 11:58,Received,(2/2)parlimenthuwe dee viwadayata ganeema sadaha parlimenthu karaka sabha rasweeme dee theeranaya karai,(2/2) පාර්ලිමේන්තුවේදී විවාදයට ගැනීම සඳහා පාර්ලිමේන්තු කාරක සභා රැස්වීමේදී තීරණය කරයි
Ada Derana,3/17/2021 11:57,Received,Paasku irudina praharaya gena wimarshanaya kala janadhipathi komisame warthawa Marthu 25 ha 26(1/2),පාස්කු ඉරුදින ප්‍රහාරය ගැන විමර්ශනය කළ ජනාධිපති කොමිසමේ වාර්තාව මාර්තු 25  හා  26
Ada Derana,3/17/2021 10:22,Received,Bedumkara wanchawata adalawa 2016 Marthu 29 ha 31 sidu wu bedumkara wendesiya pilibanda neethipathi vishesha mahadhikaranaye adhi chodana gonu karai,බැඳුම්කර වංචාවට අදාලව 2016 මාර්තු 29 හා 31 සිදු වූ බැඳුම්කර වෙන්දේසිය පිළිබඳ නීතිපති විශේෂ මහාධිකරණයේ අධිචෝදනා ගොනු කරයි
Hiru News,3/17/2021 10:22,Received,2016 Marthu 29 ha 31 bendumkara wendesi waladi sidu-wu wancha gena Neethipathi wisin Colamba thri-pudgala mahadikaranaya hamuwe adhi-chodana gonu karai,2016 මාර්තු 29 හා 31 31 බැඳුම්කර වෙන්දේසි වල දී සිදු වූ   වංචා ගැන නීතිපති විසින් කොළඹ ත්‍රිපුද්ගල මහාධිකරණය හමුවේ  අධිචෝදනා ගොනු කරයි
Hiru News,3/17/2021 10:08,Received,"Update - CID athadanguwata path Azath Salley-ge motor rathaye thibi, vides rataka nishpaditha pistholayak soya-gane.: Police Spokesman",Update : CID අත්අඩංගුවට පත් අසාත් සාලිගේ මෝටර් රථයේ තිබී විදෙස් රටක නිෂ්පාදිත පිස්තෝලයක් සොයාගැනේ police spokesman
Ada Derana,3/17/2021 7:10,Received,(2/2)Nalaka Edirisinghe ada kotuwa mahesthrath adhikaranaya hamuwata,(2/2)නාලක එදිරිසිංහ අද කොටුව මහේස්ත්‍රාත් අධිකරණය හමුවට
Ada Derana,3/17/2021 7:08,Received,"Athadanguwata gath Swarnamahal Jewellers hi hitapu adyakshawarun wana Jeewaka Edirisinghe, Anjalee Edirisinghe Asanka Edirisinghe ha(1/2)",අත්අඩංගුවට ගත් සරණ මහා ජුවලර්ස් යි හිටපු අධ්‍යක්ෂකවරුන් වන ජීවක එදිරිසිංහ අන්ජලී එදිරිසිංහ අසංක එදිරිසිංහ හා (1/2)
Ada Derana,3/17/2021 7:04,Received,Randawagena prashna karana hitapu andukara Azath Sally ge motor rathaye thibee vides rataka nishpaditha pistholayak CID ya soya ganne,රඳවාගෙන ප්‍රශ්න කරන හිටපු ආණ්ඩුකාර අසාත් සාලිගේ මෝටර් රථයේ තිබී විදෙස් රටක නිෂ්පාදිත පිස්තෝලයක් CID සොයා ගැනේ
Ada Derana,3/17/2021 6:48,Received,Rs.Miliyana 20 ka heroin 2kg samaga pudgalayeku Rajagairiye dee STF athadanguwata,Rs මිලියන 20ක හා හෙරොයින් 2kg සමග සමඟ පුද්ගලයෙකු රාජගිරියේ දී STF අත්අඩංගුවට
News 1st,3/17/2021 0:07,Received,STF Rajagiriye kala wetalimakin Rs.koti 02ta adika watinakamin yuth heroin 2Kg k samaga sekakaruweku athadanguwata.-STF,STF රාජගිරියේ දී කළ වැටලීමකින් rs කෝටි 2කට අධික වටිනාකමකින් යුතු හෙරොයින් සමග  සැකකරුවෙකු අත්අඩංගුවට STF
Ada Derana,3/16/2021 21:59,Received,UPDATE: Thawath Covid-19 asadithayin 120 deneku haduna ganne.Ada wartha wu asadithayin ganana 274 dakwa ihalata - Yuda hamudapathi,Update : තවත් covid 19  ආසාදිතයින් 120 දෙනෙකු හඳුනා ගැනේ අද වාර්තා වූවා වූ ආසාදිතයින් ගණන 274 දක්වා ඉහලට යුද හමුදා පති
Ada Derana,3/16/2021 20:45,Received,Covid-19 asaditha marana 02 k ada wartha weemath samaga merata samastha marana 534 dakwa ihalata - Saukya amathyanshaya,covid 19 ආසාදිත මරණ මරණ 2ක් අද වාර්තා වාර්තා වීමත් සමග මෙරට සමස්ත මරණ 534 දක්වා ඉහළට සෞඛ්‍ය අමාත්‍යාංශය
News 1st,3/16/2021 20:21,Received,Palath sabha jandaya kadinamin pewethweemata janadhipathiwaraya  sagama pewathi sakachchawedi.. (1/2),පළාත් සභා ඡන්දය කඩිනමින් පැවැත්වීමට ජනාධිපතිවරයා සමග පැවති සාකච්ඡාවේදී (1/2)
News 1st,3/16/2021 20:21,Received,.andu paksha nayakainge ekagathawaya palawu bawa cabinet prakashaka amathya  Keheliya Rambukwella kiyai.(2/2),ආණ්ඩු පක්ෂ නායකයින්ගේ එකඟතාවය  පළවූ බව කැබිනට් ප්‍රකාශක  අමාත්‍ය කෙහෙළිය රඹුක්වැල්ල කියයි
Ada Derana,3/16/2021 19:51,Received,UPDATE: Thrasthawadaya walakweeme panathe vidiwidana yatathe Azath Sally randawagena prashna kere - Police maadya prakashaka,Update : ත්‍රස්තවාදය වැළැක්වීමේ පනතේ විධිවිධාන යටතේ අසාත් සාලි රඳවාගෙන ප්‍රශ්න කෙරේ police  මාධ්‍ය ප්‍රකාශක
News 1st,3/16/2021 19:27,Received,Thawath corona asadithain 154k handuna gene.-Rajaye prauththi departhamenthuwa,තවත් කොරෝනා ආසාදිතයින් 154ක් හඳුනාගැනේ රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
News 1st,3/16/2021 18:57,Received,Update:CID athadanguwata patj Azath Salley thrasthawadaya welekweeme panatha yatathe randawa thaba wimarshanaya kirimata piyawara.-Police madya prakashaka,Update : CID අත්අඩංගුවට අසාත් සාලි ත්‍රස්තවාදය වැළකීමේ පනත යටතේ රඳවා තබා විමර්ශනය කිරීමට පියවර police  මාධ්‍ය ප්‍රකාශක
News 1st,3/16/2021 18:48,Received,Basnahira palath hitapu andukara Azath Salley Kollupitiyedi CID athadanguwata.,බස්නාහිර පළාත් හිටපු ආණ්ඩුකාර අසාද් සාලි කොල්ලුපිටියේ දී සීයයි CID අත්අඩංගුවට
Ada Derana,3/16/2021 18:46,Received,Neethipathi upades matha hitapu andukara Azath Sally CID athadanguwata,නීතිපති උපදෙස් මත හිටපු ආණ්ඩුකාර අසාද් සාලි CID අත්අඩංගුවට
Ada Derana,3/16/2021 18:19,Received,Covid-19 asadithayin 154 deneku haduna ganne - Yuda hamudapathi,Covid 19 ආසාදිතයින් 154 දෙනෙකු හඳුනා ගනී යුද හමුදා පති
Ada Derana,3/16/2021 16:38,Received,Talaimannarama dumriya haras maargayakadi magee bus rathayak ha dumriyak gateemen wu anathurakin 09 hawiridi sisuweku miyayai.Thawath 15 denekuta thuwala,තලෙයිමන්නාරම දුම්රිය හරස් මාර්ගය කදී මගකදී මගී බස් රථයක් හා දුම්රියක් ගැටීමෙන් වූ අනතුරකින් 9 හැවිරිදි සිසුවකු මියයයි තවත් 15 දෙනෙකු තුවාල
News 1st,3/16/2021 16:34,Received,Dahampasal shreni wibhaga labana may 09 dakwa kal dame.- Baudha katayuthu comasaris genaral.,දහම් පාසල් ශ්‍රේණි විභාග ලබන මැයි 9 දක්වා කල් දැමේ කල් දැමේ බුද්ධ කටයුතු කොමසාරිස් ජනරාල්
Ada Derana,3/16/2021 16:10,Received,(2/2)eya sakachcha wemin pawathina hudek yojanawak pamanak bawa videsha lekam kiyai,(2/2) එය සාකච්ඡා වෙමින් පවතින හුදෙක් යෝජනාවක් පමණක් බව විදේශ ලේකම් කියයි
News 1st,3/16/2021 16:08,Received,"Burkawa ha Nikabaya peladima thahanam kirimata rajaya thiranayak gena nomethi bawath, eya hudek yojanawak pamanak bawath widesha katayuthu amathyanshaya kiyai.",බුර්කාව හා නිකාබය පැළඳීම තහනම් කිරීමට රජය තීරණයක් ගෙන නොමැති බවත් එය හුදෙක් යෝජනාවක් පමණක් බවත් විදේශ කටයුතු අමාත්‍යංශය කියයි
Ada Derana,3/16/2021 16:07,Received,Merata Burqawa ho Niqabaya peladeemata thahanamak penaweema sadaha rajaya theeranayak gena nomethi athara(1/2),මෙරට බුරුකාව හෝ නිකාබය පැළඳීමට තහනමක් පැනවීම සඳහා රජය තීරණයක් ගෙන නොමැති අතර
News 1st,3/16/2021 16:06,Received,Thaleimannaramedi magi bus rathayak dumriyaka getimen 09 hewiridi pasal daruweku maruta.15 denekuta thuwala.- Police madya prakashaka,තලෙයි මන්නාරමේ දී මගී බස් රථයක් දුම්රියක ගැටීමෙන් 9 හැවිරිදි පාසල් දරුවෙකු මරුට 15 දෙනෙකුට තුවාල පොලිස් මාධ්‍ය ප්‍රකාශක
Ada Derana,3/16/2021 15:42,Received,(2/2)Asanka Edirisinghe ha Nalaka Edirisinghe CID athadanguwata,අසංක එදිරිසිංහ හා නාලක එදිරිසිංහ CID අත්අඩංගුවට
Ada Derana,3/16/2021 15:41,Received,"Neethipathi upades matha Swarnamahal Jewellers hitapu adyakshawarun wana Jeewaka Edirisinghe, Anjalee Edirisinghe(1/2)",නීතිපති උපදෙස් මත ස්වර්ණමහල්  jewellers හිටපු අධ්‍යක්ෂවරුන් වන ජීවක ඉදිරිසිංහ අන්ජලී එදිරිසිංහ
Ada Derana,3/16/2021 15:30,Received,"Covid-19 asadithayin 402 deneku suwaya labai.Merata suwaya labaa rohalwalin pitawa giya samastha ganana 85,371 dakwa ihalata - Saukya amathyanshaya",Covid 19 ආසාදිතයින් 402 දෙනෙකු සුවය ලබයි .මෙරට සුවය ලබා රෝහල්වලින් පිටව ගිය සමස්ත ගණන 85 371 දක්වා ඉහලට සෞඛ්‍ය අමාත්‍යාංශය
Ada Derana,3/16/2021 14:06,Received,Amerikanu dollarayata sapekshawa Sri Lanka rupiyale agaya thawaduratath pahalata.Amerikanu dollarayaka wikunum mila Rs.200.06 - CBSL,ඇමරිකානු  ඩොලරයට සාපේක්ෂව ශ්‍රී ලංකා රුපියලේ අගය තවදුරටත් පහළට ඇමරිකානු ඩොලරයක  විකුනුම් මිල Rs.200.06-CBSL
Ada Derana,3/16/2021 12:04,Received,Antigua hidee pasugiya irida Batahira Kodew kandayamata erehiwa pewathi 3 ekdina tharagaye dee mandagamee panduwara wegayak(1/2),Antigua හි දී පසුගිය ඉරිදා බටහිර කොදෙව් කණ්ඩායමට එරෙහිව පැවැති 3 එක්දින තරගයේදී මන්දගාමී පන්දු වාරයක්
Ada Derana,3/16/2021 12:04,Received,(2/2)pawathwagena yaama nisa Sri Lanka kandayamata tharaga gasthuwen 40% ka dhadayak niyama karai - ICC,පවත්වාගෙන යාම නිසා ශ්‍රී ලංකා කණ්ඩායමට තරඟ ගාස්තුවෙන් 40%ක දඩයක් නියම කරයි - ICC
News 1st,3/16/2021 11:20,Received,indiyawe Adani samagama hemikaru Gautam Adani Sri Lanka rajayata sthuthiya pala karai.(2/2),ඉන්දියාවේ Adani සමාගම හිමිකරු Gautam Adani ශ්‍රී ලංකා රජයට ස්තුතිය ස්තුතිය පළ කරයි
News 1st,3/16/2021 11:19,Received,Colomba waraye batahira paryanthaya godanegeema sadaha tamanta awasthawa laba deema pilibada.. (1/2),කොළඹ වරාය බටහිර පර්යන්තය ගොඩනැගීම සඳහා තමාට අවස්ථාව ලබාදීම පිළිබඳ
News 1st,3/16/2021 10:18,Received,Sinharaja wanantharaye gas kepu sekakaruwan 4 deneku STF atthadanguwata.-police.,සිංහරාජ වනාන්තරයේ ගස් කැපූ සැකකරුවන් 4 දෙනෙකු STF අත්අඩංගුවට police
Ada Derana,3/16/2021 10:07,Received,Vee alewi mandalaya goveengen miladee ganna vee thoga sahal bawata path kara akandawa(1/2),වී අලවි මන්ඩලයේ ගොවීන්ගෙන් මිලදී ගන්නා වී තොග සහල් බවට පත්කර අඛණ්ඩව
Ada Derana,3/16/2021 10:07,Received,(2/2)Sathosa shaka jaalaya magin kadinamin beda hareemata amathya mandalaya theeranaya karai,සතොස ශාඛා ජාලය මගින් කඩිනමින් බෙදාහැරීමට අමාත්‍ය මණ්ඩලය තීරණය කරයි
News 1st,3/16/2021 8:41,Received,"Yuda hamuda buddi anshaya labadun thorathurakata anuwa,Rs.5000 wyaja mudal nottu 124k samaga sakakaruwan 02k Oluwil pradeshayedi athadanguwata.Police",යුද හමුදා බුද්ධි අංශය ලැබුණු තොරතුරකට අනුව Rs.5000 වටිනා මුදල් නෝට්ටු 124ක් සමග සැකකරුවන් 02ක් ඔලුවිල් ප්‍රදේශයේදී අත්අඩංගුවට police
Ada Derana,3/16/2021 8:32,Received,"Yuda hamuda buddhi thorathurakata kala wetalaeemakadi Rs.5000 wayaja mudal nottu 124 k samaga pudgalayin dedeneku Akkaraipattu, Oluwil hidee athadanguwata",යුද හමුදා බුද්ධි තොරතුරකට කළ වැටලීමකදී Rs.5000 වටිනා මුදල් නෝට්ටු 124ක් සමඟ පුද්ගලයෙකු අක්කරේපත්තු ඔලුවිල් හිදී අත්අඩංගුවට
Hiru News,3/16/2021 6:04,Received,"Colamba - Wellaveediya pradeshayedi Narcotics niladarin sidu-kala wetalimakin, ICE mathdrawya 1kg samaga sekakaruwan 02-k(29,37) athadanguwata","කොළඹ වේල්ලවීදිය ප්‍රදේශයේ දී narcotic නිලධාරීන් සිදුකළ සිදු කළ වැටලීමකින් ICE මත්ද්‍රව්‍ය 1kg සමග සැකකරුවන්  02ක්(29,37)අත්අඩංගුවට"
News 1st,3/15/2021 22:16,Received,Thawath corona asadithain 70k handuna gene. Ada dina wartha wu asadithain sankyawa 248k.- Rajaye prauththi departhamenthuwa,තවත් කොරෝනා ආසාදිතයින් 70ක් හඳුනාගැනීම අද දින වාර්තා වූ ආසාදිතයින් සංඛ්‍යාව 248ක් රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
Ada Derana,3/15/2021 21:48,Received,UPDATE: Thawath Covid-19 asadithayin 70 deneku haduna ganne.Ada wartha wu asadithayin ganana 248 dakwa ihalata - Yuda hamudapathi,Update : තවත් covid 19 ආසාදිතයින් 70 දෙනෙකු හඳුනා ගැනේ අද වාර්තා වූ ආසාදිතයින් ගණන  248 දක්වා ඉහලට යුද හමුදා පති
Hiru News,3/15/2021 21:46,Received,Update - Thawath COVID-19 asadithayin 70k wartha wei.: Army Commander,Update : තවත් covid 19  ආසාදිතයින් 70ක් වාර්තාවේ army commander
Ada Derana,3/15/2021 19:19,Received,Covid-19 asaditha marana 05 k ada wartha weemath samaga merata samastha marana 532 dakwa ihalata - Saukya amathyanshaya,Covid 19 ආසාදිත  මරණ 05ක් අද වාර්තාවීමත් සමඟ මෙරට සමස්ත මරණ දක්වා ඉහලට සෞඛ්‍ය අමාත්‍යාංශය 532 දක්වා ඉහලට සෞඛ්‍ය අමාත්‍යාංශය
Hiru News,3/15/2021 19:11,Received,Thawath COVID-19 marana 05k wartha-wei; samastha marana 532 dakwa ihalata.: Information Department,තවත් Covid 19 මරණ 05ක් වාර්තාවේ සමස්ත මරණ 532 දක්වා ඉහලට information department
News 1st,3/15/2021 18:53,Received,Thawath corona asadithain 178k handuna gene.- Rajaye prauththi departhamenthuwa,තවත් කොරෝනා ආසාදිතයින් 178ක් හඳුනාගැනී රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව
